model_slug,model_family,BLOCK_ID,n_ai_rows,n_other_rows,mean_ai_overestimation_pct_points,mean_other_overestimation_pct_points,delta_pct_points_ai_minus_other,mean_ai_overestimation_usd,mean_other_overestimation_usd,delta_usd_ai_minus_other
Llama-3.1-70B-Instruct,Llama,11-3021.00||IL||52||Y||II,1,1,-11.033265218177016,20.244102478557625,-31.277367696734643,-15874.0,29126.0,-45000.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||IL||52||Y||IV,1,1,-14.685445731559975,-14.685445731559975,0.0,-29779.0,-29779.0,0.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||IL||54||Y||II,1,1,20.244102478557625,-10.956114377858404,31.200216856416027,29126.0,-15763.0,44889.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||MI||33||Y||II,1,1,-7.087168106293016,-3.7171079264836857,-3.3700601798093306,-9772.0,-4591.0,-5181.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||NC||52||Y||IV,1,1,-25.152450224083463,-25.152450224083463,0.0,-54776.0,-54776.0,0.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||NJ||54||Y||III,2,2,-22.644226039831516,-26.34059425088668,3.696368211055166,-50642.0,-58371.5,7729.5
Llama-3.1-70B-Instruct,Llama,11-3021.00||NY||51||Y||II,3,3,-7.017242120651847,-10.600392713304954,3.583150592653107,-13056.0,-19722.666666666668,6666.666666666668
Llama-3.1-70B-Instruct,Llama,11-3021.00||NY||51||Y||III,1,1,-20.408510029422022,0.8066410354674809,-21.215151064889504,-45642.0,1305.0,-46947.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||NY||51||Y||IV,2,2,-31.482729054385107,-31.482729054385107,0.0,-82248.0,-82248.0,0.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||NY||52||Y||II,1,1,-12.391968009631508,-7.017242120651847,-5.374725888979661,-23056.0,-13056.0,-10000.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||NY||52||Y||III,1,1,-19.961366827340125,-22.644226039831516,2.6828592124913904,-44642.0,-50642.0,6000.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||NY||54||Y||II,1,1,-7.017242120651847,-7.017242120651847,0.0,-13056.0,-13056.0,0.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||NY||54||Y||III,1,1,-17.27850761484873,-14.491203327437013,-2.787304287411718,-38642.0,-24249.0,-14393.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||NY||54||Y||IV,1,1,-20.38216560509554,-29.186060754532093,8.803895149436553,-53248.0,-76248.0,23000.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||PA||51||Y||IV,1,1,-19.09233762346603,-19.09233762346603,0.0,-40824.0,-40824.0,0.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||TX||44||Y||IV,1,1,-22.156317755045514,-17.38063172774769,-4.775686027297823,-46394.0,-36394.0,-10000.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||TX||54||Y||II,2,2,5.9252013760527955,2.6944340912744957,3.2307672847782998,9080.0,4241.5,4838.5
Llama-3.1-70B-Instruct,Llama,11-3021.00||TX||54||Y||III,2,2,-8.196147696318564,-14.086090089922871,5.889942393604308,-14967.0,-25662.0,10695.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||TX||54||Y||IV,1,1,-23.29917087815391,-20.782288180804112,-2.5168826973497964,-49514.0,-42851.0,-6663.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||VA||51||Y||II,1,1,-6.707875457875458,-6.707875457875458,0.0,-11720.0,-11720.0,0.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||WA||45||Y||III,1,1,-28.60680092439749,-28.60680092439749,0.0,-69320.0,-69320.0,0.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||WA||51||Y||II,2,2,-17.83860073592419,-12.798024093956348,-5.04057664196784,-35390.0,-25390.0,-10000.0
Llama-3.1-70B-Instruct,Llama,11-3021.00||WA||51||Y||III,3,3,-21.196669563629598,-25.990344185783936,4.793674622154338,-50985.666666666664,-61319.0,10333.333333333336
Llama-3.1-70B-Instruct,Llama,11-3021||CA||51||Y||II,1,1,4.977002148084321,-1.0910326581633272,6.068034806247649,8202.0,-1798.0,10000.0
Llama-3.1-70B-Instruct,Llama,11-3051.01||CA||33||Y||II,1,1,12.271324663874807,-20.790169715671148,33.061494379545955,17816.0,-30184.0,48000.0
Llama-3.1-70B-Instruct,Llama,11-9041.00||CA||33||Y||III,1,1,-24.525156737634628,-21.40150654684561,-3.123650190789018,-52966.0,-47106.0,-5860.0
Llama-3.1-70B-Instruct,Llama,11-9041.00||CA||33||Y||IV,1,1,-30.579241989526693,-30.579241989526693,0.0,-76205.0,-76205.0,0.0
Llama-3.1-70B-Instruct,Llama,11-9041.00||CA||51||Y||IV,2,2,-30.579241989526693,-23.55691097690656,-7.022331012620132,-76205.0,-58705.0,-17500.0
Llama-3.1-70B-Instruct,Llama,11-9041.00||CA||54||Y||I,1,1,14.045380832465359,15.726804468526323,-1.6814236360609645,21306.0,23510.0,-2204.0
Llama-3.1-70B-Instruct,Llama,11-9041.00||CA||54||Y||II,1,1,-18.97410918355877,-10.796374939801234,-8.177734243757536,-40512.0,-19728.0,-20784.0
Llama-3.1-70B-Instruct,Llama,11-9041.00||TX||54||Y||IV,1,1,-2.8935844405643376,-19.075341506456642,16.181757065892306,-6198.0,-40859.0,34661.0
Llama-3.1-70B-Instruct,Llama,13-1081.02||AR||45||Y||III,1,1,52.399095130372665,22.633646862721754,29.76544826765091,44010.0,19010.0,25000.0
Llama-3.1-70B-Instruct,Llama,13-1081.02||AR||45||Y||IV,1,1,67.3138891184004,28.18206229860365,39.13182681979674,65176.0,27287.0,37889.0
Llama-3.1-70B-Instruct,Llama,13-1082.00||NY||51||Y||IV,1,1,23.08634007757766,7.783714013878816,15.302626063698844,34699.0,11699.0,23000.0
Llama-3.1-70B-Instruct,Llama,13-1111.00||CA||54||Y||II,1,1,16.83735874545886,20.251243374506736,-3.4138846290478746,18446.0,17346.0,1100.0
Llama-3.1-70B-Instruct,Llama,13-1111.00||FL||54||Y||IV,2,2,7.905784761679958,16.442078328470288,-8.53629356679033,9378.0,19122.5,-9744.5
Llama-3.1-70B-Instruct,Llama,13-1111.00||GA||54||Y||IV,2,2,2.519984227694734,-6.112126751980499,8.632110979675232,3515.0,-8525.5,12040.5
Llama-3.1-70B-Instruct,Llama,13-1111.00||IL||54||Y||IV,1,1,-8.60166945761802,-3.508771929824561,-5.092897527793458,-13458.0,-5200.0,-8258.0
Llama-3.1-70B-Instruct,Llama,13-1111.00||NJ||54||Y||IV,1,1,3.418557885665039,-8.71077915030802,12.129337035973059,5355.0,-13645.0,19000.0
Llama-3.1-70B-Instruct,Llama,13-1111.00||NY||52||Y||IV,1,1,2.0778797860748237,18.101439560790322,-16.023559774715498,3318.0,28355.0,-25037.0
Llama-3.1-70B-Instruct,Llama,13-1111.00||NY||54||Y||II,1,1,15.895340614441738,16.137935098609255,-0.24259448416751717,16184.0,16431.0,-247.0
Llama-3.1-70B-Instruct,Llama,13-1111.00||TX||54||Y||IV,1,1,10.070275637522418,-8.465404835394907,18.535680472917324,13083.0,-10998.0,24081.0
Llama-3.1-70B-Instruct,Llama,13-1111.00||WA||51||Y||IV,1,1,4.34804875550548,4.34804875550548,0.0,6792.0,6792.0,0.0
Llama-3.1-70B-Instruct,Llama,13-1161.00||IL||51||Y||III,1,1,42.50347201255963,26.420698627783096,16.08277338477653,35195.0,21526.0,13669.0
Llama-3.1-70B-Instruct,Llama,13-1161.00||IL||54||Y||II,1,1,55.377885050535525,12.990067956089911,42.387817094445616,36710.0,8449.0,28261.0
Llama-3.1-70B-Instruct,Llama,13-2051.00||NY||52||Y||IV,1,1,-0.049137854015902795,39.596176181542035,-39.64531403555794,-88.0,70912.0,-71000.0
Llama-3.1-70B-Instruct,Llama,13-2099.01||CA||52||Y||II,2,2,82.65190124024473,65.04646711441418,17.60543412583054,64709.0,57659.5,7049.5
Llama-3.1-70B-Instruct,Llama,13-2099.01||CA||52||Y||IV,1,1,59.50888507600383,17.461516978528362,42.04736809747547,69019.0,21258.0,47761.0
Llama-3.1-70B-Instruct,Llama,13-2099.01||IL||52||Y||IV,1,1,48.65885605001366,48.65885605001366,0.0,60554.0,60554.0,0.0
Llama-3.1-70B-Instruct,Llama,13-2099.01||NJ||52||Y||IV,1,1,12.685321670910131,0.21489246949369648,12.470429201416435,20826.0,255.0,20571.0
Llama-3.1-70B-Instruct,Llama,15-1211.00||CO||51||Y||IV,1,1,-1.3315588409714656,-19.3630463545051,18.031487513533637,-1931.0,-24733.0,22802.0
Llama-3.1-70B-Instruct,Llama,15-1211.00||UT||54||Y||III,1,1,8.97741099296408,25.282759350367666,-16.305348357403588,8485.0,23896.0,-15411.0
Llama-3.1-70B-Instruct,Llama,15-1211.00||VA||54||Y||III,1,1,16.459262737731862,-8.15647204201421,24.61573477974607,17525.0,-10561.0,28086.0
Llama-3.1-70B-Instruct,Llama,15-1211||NJ||54||Y||III,1,1,12.391341936903657,0.6892811669836679,11.70206076991999,15766.0,877.0,14889.0
Llama-3.1-70B-Instruct,Llama,15-1212.00||CA||54||Y||II,1,1,5.188435725348477,4.119642935154578,1.0687927901938998,8040.0,5658.0,2382.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||CA||33||Y||II,1,1,-13.018618881650578,-13.018618881650578,0.0,-21403.0,-21403.0,0.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||CA||45||Y||I,1,1,38.604439479509296,67.56656116179482,-28.962121682285527,37322.0,65322.0,-28000.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||CA||45||Y||II,1,1,-0.8533907532100996,5.22922331101014,-6.082614064220239,-1403.0,8597.0,-10000.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||CA||51||Y||I,2,2,20.46206739560381,25.673390127787524,-5.211322732183714,21794.0,32788.0,-10994.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||CA||51||Y||II,1,1,5.22922331101014,-0.8533907532100996,6.082614064220239,8597.0,-1403.0,10000.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||CA||51||Y||III,1,1,-13.970580922354719,-5.023278037070056,-8.947302885284664,-28094.0,-8621.0,-19473.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||CA||51||Y||IV,1,1,-31.45096851791106,-17.2573440085708,-14.19362450934026,-74786.0,-36082.0,-38704.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||CA||54||Y||I,1,1,78.94453753697843,34.40094764057997,44.54358989639846,76322.0,30203.0,46119.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||CA||54||Y||II,2,2,14.05865191240113,13.486481022125892,0.5721708902752383,18729.0,9724.0,9005.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||CA||54||Y||III,1,1,13.857737061022481,0.8035147213919043,13.054222339630577,21056.0,1379.0,19677.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||CA||54||Y||IV,1,1,-16.731851328505464,-5.987457748698497,-10.744393579806967,-39786.0,-11018.0,-28768.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||IL||51||Y||II,1,1,58.775981524249424,58.775981524249424,0.0,52936.0,52936.0,0.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||MA||33||Y||II,1,1,-0.2608562221881234,-0.2608562221881234,0.0,-374.0,-374.0,0.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||NM||54||Y||II,1,1,-26.28547511510086,-25.817499033099196,-0.4679760820016625,-42077.0,-41387.0,-690.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||NY||54||Y||II,2,2,3.471362778713303,25.112432118052034,-21.64106933933873,5133.0,37133.0,-32000.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||NY||54||Y||III,3,3,-12.23488743989705,-18.516643962603805,6.281756522706754,-22723.0,-34389.666666666664,11666.666666666664
Llama-3.1-70B-Instruct,Llama,15-1221.00||TN||54||Y||II,4,4,48.98643520890185,43.01486226136563,5.971572947536224,38862.5,34383.5,4479.0
Llama-3.1-70B-Instruct,Llama,15-1221.00||TX||54||Y||II,1,1,56.85672290108155,12.626950160126142,44.229772740955404,51834.0,12893.0,38941.0
Llama-3.1-70B-Instruct,Llama,15-1241.00||CA||51||Y||III,1,1,6.4195726017973085,-12.391968009631508,18.811540611428818,11944.0,-23056.0,35000.0
Llama-3.1-70B-Instruct,Llama,15-1242.00||MA||54||Y||IV,1,1,14.922268833503718,19.496209844141752,-4.573941010638034,21165.0,26594.0,-5429.0
Llama-3.1-70B-Instruct,Llama,15-1242.00||TX||52||Y||III,1,1,9.496581196581197,15.456775869533843,-5.960194672952646,11111.0,17136.0,-6025.0
Llama-3.1-70B-Instruct,Llama,15-1243.00||CA||54||Y||II,1,1,7.46073717948718,20.84745333006566,-13.386716150578483,9311.0,24669.0,-15358.0
Llama-3.1-70B-Instruct,Llama,15-1243.00||IN||33||Y||IV,1,1,-16.891449182284674,-16.404251440926718,-0.48719774135795646,-26038.0,-26099.0,61.0
Llama-3.1-70B-Instruct,Llama,15-1243.00||MA||54||Y||IV,1,1,-6.48395902591962,-22.700613530095406,16.216654504175786,-11995.0,-41995.0,30000.0
Llama-3.1-70B-Instruct,Llama,15-1243.00||NC||52||Y||IV,1,1,-17.964857907611133,-17.964857907611133,0.0,-28055.0,-28055.0,0.0
Llama-3.1-70B-Instruct,Llama,15-1243.00||PA||54||Y||II,3,3,15.394919513995234,0.9404894279821069,14.454430086013128,15783.333333333334,1108.0,14675.333333333334
Llama-3.1-70B-Instruct,Llama,15-1243.00||TX||54||Y||II,1,1,16.252175103134103,16.252175103134103,0.0,16625.0,16625.0,0.0
Llama-3.1-70B-Instruct,Llama,15-1243.00||TX||54||Y||III,1,1,-12.499724076022574,12.263402915708241,-24.763126991730815,-16988.0,15621.0,-32609.0
Llama-3.1-70B-Instruct,Llama,15-1251.00||CA||54||Y||II,3,3,22.11477642343402,26.860445541443212,-4.745669118009193,23845.666666666668,22476.333333333332,1369.3333333333358
Llama-3.1-70B-Instruct,Llama,15-1251.00||CA||54||Y||III,1,1,25.12474092269901,28.28937928659569,-3.164638363896678,32730.0,29574.0,3156.0
Llama-3.1-70B-Instruct,Llama,15-1251.00||MO||54||Y||II,1,1,19.17985744700546,19.17985744700546,0.0,16576.0,16576.0,0.0
Llama-3.1-70B-Instruct,Llama,15-1251.00||NC||54||Y||III,1,1,47.85722536675523,37.886459118819346,9.970766247935885,41430.0,35170.0,6260.0
Llama-3.1-70B-Instruct,Llama,15-1251.00||NJ||54||Y||I,1,1,37.85903578981181,37.85903578981181,0.0,28286.0,28286.0,0.0
Llama-3.1-70B-Instruct,Llama,15-1251.00||TX||54||Y||II,2,2,39.49244839132652,100.81912218588877,-61.326673794562254,32786.0,64202.5,-31416.5
Llama-3.1-70B-Instruct,Llama,15-1252.00||AR||54||Y||II,1,1,23.61236123612361,23.61236123612361,0.0,19675.0,19675.0,0.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||AZ||51||Y||III,2,2,-10.005278260998855,-5.945106085611906,-4.060172175386949,-13458.5,-7997.0,-5461.5
Llama-3.1-70B-Instruct,Llama,15-1252.00||AZ||54||Y||II,1,1,-7.267358110054739,2.835097954479977,-10.102456064534717,-8072.0,3149.0,-11221.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||AZ||54||Y||IV,1,1,-18.953486899590967,-9.455848645636785,-9.497638253954182,-29934.0,-14934.0,-15000.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||33||Y||I,1,1,27.48804339015026,9.12864459545409,18.35939879469617,37301.0,13635.0,23666.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||33||Y||II,20,20,-1.656469512994605,-3.8966311139631253,2.2401616009685204,-5362.45,-8818.6,3456.1500000000005
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||33||Y||III,15,15,-12.133978884687478,-11.703695746582826,-0.43028313810465235,-27409.2,-24082.133333333335,-3327.0666666666657
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||33||Y||IV,15,15,-22.9630359150244,-26.338713517540533,3.3756776025161344,-52968.13333333333,-67373.2,14405.066666666666
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||42||Y||II,1,1,3.4272405469394682,-13.178261541165755,16.605502088105222,4444.0,-24741.0,29185.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||42||Y||III,2,2,-25.70908029610238,-2.7748165475240505,-22.934263748578328,-58138.0,-4352.0,-53786.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||44||Y||II,1,1,25.706617720777068,0.8432475237724036,24.863370197004663,33333.0,1363.0,31970.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||44||Y||IV,1,1,-0.35595387575021026,-18.97410918355877,18.61815530780856,-618.0,-40512.0,39894.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||45||Y||I,1,1,15.823653466340843,-10.212566531650655,26.0362199979915,23635.0,-15254.0,38889.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||45||Y||II,1,1,0.8432475237724036,-13.178261541165755,14.021509064938158,1363.0,-24741.0,26104.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||45||Y||III,1,1,-23.498041019200667,21.66630589745695,-45.16434691665762,-53138.0,29027.0,-82165.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||45||Y||IV,3,3,-16.22244404229224,-29.389392768851383,13.166948726559145,-46926.0,-74513.33333333333,27587.33333333333
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||51||Y||I,3,3,18.911826770913382,11.804967514441122,7.10685925647226,26079.0,12540.666666666666,13538.333333333334
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||51||Y||II,20,20,-2.6816245558724083,-4.102054015034056,1.4204294591616473,-5742.85,-9264.0,3521.1499999999996
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||51||Y||III,18,18,-19.862688891095477,-14.992261121403878,-4.870427769691599,-44176.27777777778,-32178.61111111111,-11997.666666666672
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||51||Y||IV,22,22,-22.868263607604458,-21.72241965837325,-1.1458439492312067,-55570.954545454544,-50068.90909090909,-5502.045454545456
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||52||Y||II,4,4,-3.624943546341494,-7.130320812576033,3.5053772662345395,-5859.25,-12385.25,6526.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||52||Y||III,1,1,-23.498041019200667,-7.769733545160843,-15.728307474039823,-53138.0,-14574.0,-38564.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||52||Y||IV,1,1,-7.265165423957436,-23.657686687399302,16.392521263441864,-15512.0,-50512.0,35000.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||53||Y||II,1,1,-4.553261846667523,-17.029516756683186,12.476254910015664,-5673.0,-27526.0,21853.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||53||Y||III,1,1,-7.769733545160843,-8.988499455840328,1.218765910679485,-14574.0,-14123.0,-451.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||54||Y||I,4,4,14.623718461294942,0.1440669464042741,14.479651514890667,20468.0,-1160.25,21628.25
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||54||Y||II,21,21,-4.558200769168074,-6.555339408449824,1.9971386392817498,-9145.57142857143,-12966.047619047618,3820.476190476189
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||54||Y||III,15,15,-11.258722282257597,-8.753985821054984,-2.5047364612026133,-25188.733333333334,-20072.466666666667,-5116.266666666666
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||54||Y||IV,17,17,-19.66238469579395,-20.02553957358046,0.3631548777865099,-47035.94117647059,-43449.0,-3586.9411764705874
Llama-3.1-70B-Instruct,Llama,15-1252.00||CA||56||Y||II,1,1,7.02994982584433,-17.029516756683186,24.059466582527516,11363.0,-27526.0,38889.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CO||51||Y||III,1,1,0.4820326882808438,-5.764014784209564,6.2460474724904085,686.0,-8203.0,8889.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||CO||54||Y||II,1,1,15.239396439128342,-5.239098692506803,20.478495131635146,17735.0,-6315.0,24050.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||DC||54||Y||II,1,1,16.545367117906423,-5.687207550162582,22.232574668069006,20301.0,-7171.0,27472.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||DC||54||Y||III,1,1,-5.145995569057695,-19.76912853104486,14.623132961987164,-7758.0,-29302.0,21544.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||FL||33||Y||IV,1,1,-17.138355332118227,-3.648864175179965,-13.489491156938263,-25670.0,-5079.0,-20591.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||FL||44||Y||III,1,1,-2.999464768765641,-3.489721552682622,0.49025678391698113,-4147.0,-4300.0,153.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||FL||52||Y||IV,1,1,28.77494719599983,-18.986753006699004,47.76170020269883,40053.0,-31432.0,71485.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||FL||54||Y||II,4,4,19.656320152601552,12.76448368617336,6.891836466428192,20183.5,12801.5,7382.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||FL||62||Y||IV,1,1,59.883286527709785,54.763984922992435,5.11930160471735,46485.0,43878.0,2607.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||GA||31||Y||IV,1,1,-18.41833682812839,-7.1104714462557235,-11.307865381872666,-28020.0,-9535.0,-18485.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||GA||52||Y||II,1,1,-2.116376975491081,30.852923144496398,-32.96930011998748,-2227.0,33717.0,-35944.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||GA||52||Y||III,2,2,6.073439926214268,7.911086332598411,-1.8376464063841427,7894.5,9894.5,-2000.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||GA||54||Y||I,2,2,50.05242795675598,20.68652696531789,29.36590099143809,41529.0,17585.0,23944.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||GA||54||Y||II,3,2,19.538194911460526,1.3989714279296028,18.139223483530923,20866.666666666668,1355.5,19511.166666666668
Llama-3.1-70B-Instruct,Llama,15-1252.00||GA||54||Y||III,1,1,2.6042981630670123,-9.01864475506285,11.622942918129862,3404.0,-11788.0,15192.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||GA||54||Y||IV,1,1,7.1445004634163976,-18.41833682812839,25.56283729154479,10869.0,-28020.0,38889.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||IL||33||Y||IV,1,1,-19.27077210060586,-13.990023430838743,-5.280748669767117,-24587.0,-20838.0,-3749.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||IL||51||Y||III,1,1,32.357104057166026,9.405005087715272,22.952098969450752,42293.0,12293.0,30000.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||IL||51||Y||IV,2,2,-13.303274564984102,-14.599941989061431,1.296667424077329,-20133.0,-22020.0,1887.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||IL||52||Y||III,1,1,-1.9861216308231389,-21.19779353821907,19.21167190739593,-2596.0,-27707.0,25111.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||IL||52||Y||IV,1,1,-14.556115760157061,-14.556115760157061,0.0,-22317.0,-22317.0,0.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||IL||54||Y||II,1,1,10.031736632215921,-2.5599303729211207,12.591667005137042,10842.0,-2706.0,13548.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||IL||54||Y||III,2,2,0.22416549993496906,0.47399123422962974,-0.24982573429466068,293.0,355.0,-62.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||IN||33||Y||IV,1,1,-1.39662437506259,-8.63610559182515,7.2394812167625595,-1813.0,-9736.0,7923.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||MA||33||Y||II,1,1,9.092018736363498,2.310767305961154,6.781251430402344,11918.0,3029.0,8889.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||MA||33||Y||III,1,1,5.429284762557727,3.8519637462235647,1.5773210163341624,8394.0,5304.0,3090.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||MA||33||Y||IV,1,1,-8.494310367089389,-24.709904508479713,16.215594141390326,-15131.0,-44016.0,28885.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||MA||51||Y||IV,1,1,-8.494310367089389,-8.494310367089389,0.0,-15131.0,-15131.0,0.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||MA||54||Y||II,3,3,6.549081236681364,-5.463708925049981,12.012790161731346,8584.666666666666,-7268.0,15852.666666666666
Llama-3.1-70B-Instruct,Llama,15-1252.00||MA||54||Y||III,3,3,4.133801466853144,-14.615215450888064,18.74901691774121,6234.0,-22596.0,28830.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||MA||54||Y||IV,4,4,-6.377450502628523,-3.526760736770923,-2.8506897658576005,-11284.25,-6284.25,-5000.0
Llama-3.1-70B-Instruct,Llama,15-1252.00||MI||33||Y||II,1,1,16.370486348957822,17.71477450737901,-1.344288158421186,16729.0,17189.0,-460.0
