Tech Group:
15-1200: Actual $105990, Estimated $152140, Diff $46150
25-1030: Actual $105690, Estimated $104100, Diff $-1590
25-1031: Actual $101480, Estimated $104400, Diff $2920
25-1032: Actual $106120, Estimated $104100, Diff $-2020
25-1040: Actual $83920, Estimated $104100, Diff $20180
25-1041: Actual $86350, Estimated $104400, Diff $18050
25-1042: Actual $83460, Estimated $104100, Diff $20640
25-1043: Actual $100830, Estimated $62200, Diff $-38630
25-1050: Actual $95520, Estimated $104100, Diff $8580
25-1051: Actual $101390, Estimated $104100, Diff $2710
25-1052: Actual $86220, Estimated $84900, Diff $-1320
25-1053: Actual $87710, Estimated $84900, Diff $-2810
25-1054: Actual $97360, Estimated $104100, Diff $6740
25-1060: Actual $83360, Estimated $104100, Diff $20740
25-1061: Actual $95770, Estimated $78400, Diff $-17370
25-1062: Actual $84290, Estimated $78400, Diff $-5890
25-1063: Actual $119980, Estimated $84900, Diff $-35080
25-1064: Actual $86730, Estimated $64300, Diff $-22430
25-1065: Actual $94680, Estimated $84900, Diff $-9780
25-1066: Actual $80330, Estimated $84900, Diff $4570
25-1067: Actual $82540, Estimated $84900, Diff $2360
25-1069: Actual $75040, Estimated $104400, Diff $29360
25-1070: Actual $100370, Estimated $104440, Diff $4070
25-1071: Actual $105620, Estimated $104440, Diff $-1180
25-1072: Actual $79940, Estimated $104400, Diff $24460
25-1080: Actual $73050, Estimated $84900, Diff $11850
25-1081: Actual $72090, Estimated $64300, Diff $-7790
25-1082: Actual $78630, Estimated $84900, Diff $6270
25-1110: Actual $87870, Estimated $62290, Diff $-25580
25-1111: Actual $71470, Estimated $62200, Diff $-9270
25-1112: Actual $126650, Estimated $104440, Diff $-22210
25-1113: Actual $76210, Estimated $84900, Diff $8690
25-1120: Actual $79060, Estimated $62200, Diff $-16860
25-1121: Actual $80190, Estimated $62290, Diff $-17900
25-1122: Actual $77800, Estimated $84900, Diff $7100
25-1123: Actual $78270, Estimated $96400, Diff $18130
25-1124: Actual $77010, Estimated $84900, Diff $7890
25-1125: Actual $81500, Estimated $64300, Diff $-17200
25-1126: Actual $78050, Estimated $85900, Diff $7850
25-1190: Actual $68800, Estimated $64300, Diff $-4500
25-1192: Actual $77280, Estimated $62100, Diff $-15180
25-1193: Actual $75890, Estimated $62100, Diff $-13790
25-1194: Actual $61490, Estimated $62290, Diff $800
25-1199: Actual $78490, Estimated $104400, Diff $25910
25-2000: Actual $61960, Estimated $60940, Diff $-1020
25-2010: Actual $40090, Estimated $59400, Diff $19310
25-2011: Actual $37120, Estimated $59400, Diff $22280
25-2012: Actual $61430, Estimated $60940, Diff $-490
25-2020: Actual $62500, Estimated $60440, Diff $-2060
25-2021: Actual $62340, Estimated $60440, Diff $-1900
25-2023: Actual $63620, Estimated $59400, Diff $-4220
25-2032: Actual $63910, Estimated $59400, Diff $-4510
25-2050: Actual $64270, Estimated $60940, Diff $-3330
25-2051: Actual $62190, Estimated $62100, Diff $-90
25-2052: Actual $63000, Estimated $62100, Diff $-900
25-2057: Actual $64880, Estimated $60900, Diff $-3980
25-2058: Actual $69590, Estimated $60940, Diff $-8650
25-2059: Actual $67430, Estimated $62100, Diff $-5330
25-3000: Actual $44220, Estimated $59400, Diff $15180
25-3011: Actual $59950, Estimated $45500, Diff $-14450
25-3021: Actual $45590, Estimated $61800, Diff $16210
25-3031: Actual $38470, Estimated $44300, Diff $5830
25-3099: Actual $64690, Estimated $60940, Diff $-3750
25-4000: Actual $57100, Estimated $59400, Diff $2300
25-4012: Actual $61770, Estimated $64300, Diff $2530
25-4013: Actual $47460, Estimated $54300, Diff $6840
25-4022: Actual $64320, Estimated $59400, Diff $-4920
25-4031: Actual $39970, Estimated $46300, Diff $6330
25-9000: Actual $36690, Estimated $59400, Diff $22710
25-9021: Actual $58120, Estimated $62100, Diff $3980
25-9031: Actual $74720, Estimated $56300, Diff $-18420
25-9040: Actual $35550, Estimated $41900, Diff $6350
25-9044: Actual $44930, Estimated $46300, Diff $1370
25-9045: Actual $35240, Estimated $38690, Diff $3450
25-9099: Actual $48400, Estimated $59400, Diff $11000
27-0000: Actual $60140, Estimated $64300, Diff $4160
27-1000: Actual $53180, Estimated $64300, Diff $11120
27-1010: Actual $99060, Estimated $61800, Diff $-37260
27-1011: Actual $111040, Estimated $142400, Diff $31360
27-1012: Actual $38480, Estimated $45310, Diff $6830
27-1014: Actual $99800, Estimated $76200, Diff $-23600
27-1019: Actual $72760, Estimated $61800, Diff $-10960
27-1020: Actual $49020, Estimated $76200, Diff $27180
27-1021: Actual $79450, Estimated $91200, Diff $11750
27-1022: Actual $80690, Estimated $62100, Diff $-18590
27-1024: Actual $61300, Estimated $76200, Diff $14900
27-1025: Actual $63490, Estimated $61800, Diff $-1690
27-1026: Actual $37350, Estimated $29340, Diff $-8010
27-1027: Actual $66280, Estimated $76200, Diff $9920
27-1029: Actual $66220, Estimated $76200, Diff $9980
27-2000: Actual $54870, Estimated $43900, Diff $-10970
27-2010: Actual $78000, Estimated $97310, Diff $19310
27-2012: Actual $83480, Estimated $114600, Diff $31120
27-2020: Actual $45920, Estimated $62100, Diff $16180
27-2021: Actual $62360, Estimated $62100, Diff $-260
27-2022: Actual $45920, Estimated $64300, Diff $18380
27-2023: Actual $38820, Estimated $54300, Diff $15480
27-2030: Actual $51020, Estimated $43900, Diff $-7120
27-2032: Actual $55600, Estimated $64300, Diff $8700
27-2041: Actual $63670, Estimated $104600, Diff $40930
27-3000: Actual $70300, Estimated $64300, Diff $-6000
27-3011: Actual $45680, Estimated $49400, Diff $3720
27-3023: Actual $60280, Estimated $62100, Diff $1820
27-3031: Actual $69780, Estimated $62200, Diff $-7580
27-3040: Actual $78100, Estimated $62100, Diff $-16000
27-3041: Actual $75260, Estimated $62200, Diff $-13060
27-3042: Actual $91670, Estimated $69400, Diff $-22270
27-3043: Actual $72270, Estimated $62100, Diff $-10170
27-3090: Actual $62500, Estimated $54300, Diff $-8200
27-3091: Actual $59440, Estimated $62100, Diff $2660
27-3092: Actual $67310, Estimated $56800, Diff $-10510
27-3099: Actual $71770, Estimated $64300, Diff $-7470
27-4000: Actual $56480, Estimated $64300, Diff $7820
27-4010: Actual $56600, Estimated $50390, Diff $-6210
27-4011: Actual $54830, Estimated $56300, Diff $1470
27-4012: Actual $53920, Estimated $54300, Diff $380
27-4014: Actual $66430, Estimated $64300, Diff $-2130
27-4015: Actual $60560, Estimated $56300, Diff $-4260
27-4021: Actual $42520, Estimated $48490, Diff $5970
27-4030: Actual $70570, Estimated $74800, Diff $4230
27-4031: Actual $68810, Estimated $74800, Diff $5990
27-4032: Actual $70980, Estimated $76210, Diff $5230
27-4099: Actual $67190, Estimated $64300, Diff $-2890
29-1000: Actual $101370, Estimated $208760, Diff $107390
29-1020: Actual $179210, Estimated $208760, Diff $29550
29-1031: Actual $73850, Estimated $60000, Diff $-13850
29-1041: Actual $134830, Estimated $144100, Diff $9270
29-1051: Actual $137480, Estimated $154760, Diff $17280
29-1071: Actual $133260, Estimated $119400, Diff $-13860
29-1081: Actual $152800, Estimated $208760, Diff $55960
29-1123: Actual $101020, Estimated $90.61, Diff $-100929.39
29-1125: Actual $60280, Estimated $47500, Diff $-12780
29-1126: Actual $80450, Estimated $62100, Diff $-18350
29-1127: Actual $95410, Estimated $85900, Diff $-9510
29-1128: Actual $58160, Estimated $103440, Diff $45280
29-1131: Actual $125510, Estimated $208760, Diff $83250
29-1141: Actual $93600, Estimated $85.49000000000001, Diff $-93514.51
29-1151: Actual $223210, Estimated $251100, Diff $27890
29-1161: Actual $128790, Estimated $115760, Diff $-13030
29-1171: Actual $129210, Estimated $115760, Diff $-13450
29-1290: Actual $94920, Estimated $108760, Diff $13840
29-1299: Actual $113730, Estimated $119760, Diff $6030
29-2000: Actual $54270, Estimated $62100, Diff $7830
29-2010: Actual $61890, Estimated $56800, Diff $-5090
29-2030: Actual $80660, Estimated $62100, Diff $-18560
29-2031: Actual $67260, Estimated $62100, Diff $-5160
29-2033: Actual $97020, Estimated $62100, Diff $-34920
29-2050: Actual $45010, Estimated $56800, Diff $11790
29-2051: Actual $37040, Estimated $47500, Diff $10460
29-2053: Actual $42590, Estimated $46300, Diff $3710
29-2055: Actual $62830, Estimated $46300, Diff $-16530
29-2056: Actual $45980, Estimated $50300, Diff $4320
29-2057: Actual $44080, Estimated $56800, Diff $12720
29-2061: Actual $62340, Estimated $76100, Diff $13760
29-2081: Actual $46560, Estimated $62100, Diff $15540
29-2090: Actual $49600, Estimated $56800, Diff $7200
29-2099: Actual $48790, Estimated $62100, Diff $13310
29-9000: Actual $62820, Estimated $108760, Diff $45940
29-9090: Actual $61890, Estimated $103440, Diff $41550
29-9091: Actual $60250, Estimated $62100, Diff $1850
29-9099: Actual $64030, Estimated $118760, Diff $54730
31-1130: Actual $39470, Estimated $29400, Diff $-10070
31-1132: Actual $37700, Estimated $38400, Diff $700
31-1133: Actual $41590, Estimated $43900, Diff $2310
31-2000: Actual $61730, Estimated $56800, Diff $-4930
31-2012: Actual $37370, Estimated $43300, Diff $5930
31-9000: Actual $45000, Estimated $43900, Diff $-1100
31-9093: Actual $46490, Estimated $46300, Diff $-190
31-9094: Actual $37550, Estimated $44900, Diff $7350
31-9097: Actual $43660, Estimated $45300, Diff $1640
33-0000: Actual $50580, Estimated $56800, Diff $6220
33-1011: Actual $76310, Estimated $56800, Diff $-19510
33-2020: Actual $75480, Estimated $56800, Diff $-18680
33-2021: Actual $78060, Estimated $62100, Diff $-15960
33-3000: Actual $70530, Estimated $62100, Diff $-8430
33-3010: Actual $57950, Estimated $45500, Diff $-12450
33-3011: Actual $57050, Estimated $43900, Diff $-13150
33-3012: Actual $57970, Estimated $46300, Diff $-11670
33-3021: Actual $93580, Estimated $104690, Diff $11110
33-3031: Actual $68180, Estimated $62300, Diff $-5880
33-3041: Actual $47150, Estimated $38400, Diff $-8750
33-3050: Actual $76300, Estimated $62100, Diff $-14200
33-3051: Actual $76290, Estimated $62100, Diff $-14190
33-3052: Actual $82320, Estimated $64300, Diff $-18020
33-9000: Actual $38230, Estimated $43900, Diff $5670
33-9011: Actual $45830, Estimated $38400, Diff $-7430
33-9030: Actual $38390, Estimated $45500, Diff $7110
33-9031: Actual $43900, Estimated $64300, Diff $20400
33-9032: Actual $38370, Estimated $38410, Diff $40
33-9090: Actual $37120, Estimated $43900, Diff $6780
33-9091: Actual $37700, Estimated $43900, Diff $6200
33-9092: Actual $33720, Estimated $34200, Diff $480
33-9094: Actual $34980, Estimated $29300, Diff $-5680
33-9099: Actual $41600, Estimated $52800, Diff $11200
35-0000: Actual $34130, Estimated $20890, Diff $-13240
35-1010: Actual $44140, Estimated $24310, Diff $-19830
35-1011: Actual $60990, Estimated $52600, Diff $-8390
35-1012: Actual $42010, Estimated $20890, Diff $-21120
35-2010: Actual $35760, Estimated $24310, Diff $-11450
35-2012: Actual $36450, Estimated $28300, Diff $-8150
35-2013: Actual $44530, Estimated $24570, Diff $-19960
35-2014: Actual $36830, Estimated $24310, Diff $-12520
35-2015: Actual $35620, Estimated $24310, Diff $-11310
35-2019: Actual $36210, Estimated $24310, Diff $-11900
35-3000: Actual $31470, Estimated $20890, Diff $-10580
35-3011: Actual $33530, Estimated $25190, Diff $-8340
35-3031: Actual $33760, Estimated $20890, Diff $-12870
35-3041: Actual $34460, Estimated $20890, Diff $-13570
35-9000: Actual $32680, Estimated $20890, Diff $-11790
35-9011: Actual $32670, Estimated $20890, Diff $-11780
35-9031: Actual $30380, Estimated $20890, Diff $-9490
35-9099: Actual $34830, Estimated $20890, Diff $-13940
37-1011: Actual $47520, Estimated $28300, Diff $-19220
37-2010: Actual $35630, Estimated $28300, Diff $-7330
37-2011: Actual $35930, Estimated $27310, Diff $-8620
37-2012: Actual $34660, Estimated $24310, Diff $-10350
37-2021: Actual $44730, Estimated $38400, Diff $-6330
37-3011: Actual $38090, Estimated $29340, Diff $-8750
39-0000: Actual $35110, Estimated $28300, Diff $-6810
39-1013: Actual $61590, Estimated $54300, Diff $-7290
39-1022: Actual $47080, Estimated $43900, Diff $-3180
39-2000: Actual $33860, Estimated $24310, Diff $-9550
39-2011: Actual $38750, Estimated $43900, Diff $5150
39-2021: Actual $33470, Estimated $29340, Diff $-4130
39-3000: Actual $31200, Estimated $20890, Diff $-10310
39-3010: Actual $33280, Estimated $45500, Diff $12220
39-3011: Actual $33280, Estimated $28340, Diff $-4940
39-3012: Actual $30460, Estimated $62100, Diff $31640
39-3019: Actual $34530, Estimated $41900, Diff $7370
39-3021: Actual $38180, Estimated $41900, Diff $3720
39-3031: Actual $31150, Estimated $24310, Diff $-6840
39-3090: Actual $31020, Estimated $20890, Diff $-10130
39-3092: Actual $54810, Estimated $29340, Diff $-25470
39-3093: Actual $34800, Estimated $24310, Diff $-10490
39-3099: Actual $34550, Estimated $24310, Diff $-10240
39-4000: Actual $39170, Estimated $43900, Diff $4730
39-4010: Actual $48610, Estimated $50340, Diff $1730
39-4011: Actual $56280, Estimated $50340, Diff $-5940
39-4021: Actual $34610, Estimated $29400, Diff $-5210
39-4031: Actual $49800, Estimated $50340, Diff $540
39-5000: Actual $35310, Estimated $27310, Diff $-8000
39-5090: Actual $35260, Estimated $24310, Diff $-10950
39-5091: Actual $50280, Estimated $61800, Diff $11520
39-5093: Actual $31470, Estimated $24310, Diff $-7160
39-6010: Actual $36810, Estimated $20890, Diff $-15920
39-6011: Actual $36020, Estimated $20224.0, Diff $-15796.0
39-6012: Actual $37320, Estimated $28300, Diff $-9020
39-7010: Actual $36660, Estimated $41900, Diff $5240
39-9000: Actual $35550, Estimated $24310, Diff $-11240
39-9011: Actual $32050, Estimated $27310, Diff $-4740
39-9030: Actual $37420, Estimated $29340, Diff $-8080
39-9032: Actual $35380, Estimated $29340, Diff $-6040
39-9041: Actual $39180, Estimated $44400, Diff $5220
39-9099: Actual $37900, Estimated $24310, Diff $-13590
41-0000: Actual $37460, Estimated $52800, Diff $15340
41-1010: Actual $49510, Estimated $45500, Diff $-4010
41-2012: Actual $34810, Estimated $27310, Diff $-7500
41-2020: Actual $38100, Estimated $28340, Diff $-9760
41-2021: Actual $38540, Estimated $27310, Diff $-11230
41-2022: Actual $37440, Estimated $39400, Diff $1960
41-3000: Actual $64200, Estimated $56300, Diff $-7900
41-3011: Actual $61460, Estimated $62110, Diff $650
41-3031: Actual $78140, Estimated $146410, Diff $68270
41-3041: Actual $48450, Estimated $44300, Diff $-4150
41-3091: Actual $66260, Estimated $62110, Diff $-4150
41-4010: Actual $74100, Estimated $56300, Diff $-17800
41-4011: Actual $100070, Estimated $64300, Diff $-35770
41-4012: Actual $66780, Estimated $56300, Diff $-10480
41-9000: Actual $49720, Estimated $43900, Diff $-5820
41-9010: Actual $38760, Estimated $114600, Diff $75840
41-9011: Actual $37960, Estimated $114600, Diff $76640
41-9012: Actual $89990, Estimated $114760, Diff $24770
41-9031: Actual $121520, Estimated $142400, Diff $20880
41-9041: Actual $34410, Estimated $43900, Diff $9490
41-9090: Actual $46000, Estimated $41900, Diff $-4100
41-9091: Actual $34530, Estimated $24310, Diff $-10220
41-9099: Actual $46370, Estimated $45500, Diff $-870
43-2000: Actual $38600, Estimated $64300, Diff $25700
43-2099: Actual $49910, Estimated $64300, Diff $14390
43-3000: Actual $47370, Estimated $45500, Diff $-1870
43-3011: Actual $46040, Estimated $45500, Diff $-540
43-3021: Actual $47170, Estimated $43900, Diff $-3270
43-3041: Actual $36990, Estimated $34200, Diff $-2790
43-3051: Actual $55290, Estimated $43900, Diff $-11390
43-3061: Actual $48510, Estimated $43900, Diff $-4610
